price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
11100000000,116842000,1.0,1.0,1.0,0,5.0,95.0
3200000000,62745000,0.0,1.0,1.0,96,1.0,51.0
9600000000,131506000,1.0,1.0,1.0,58,5.0,73.0
50000000000,285714000,1.0,1.0,1.0,37,2.0,175.0
13000000000,120370000,1.0,1.0,1.0,97,3.0,108.0
10500000000,112903000,1.0,1.0,1.0,6,3.0,93.0
5376000000,64000000,1.0,1.0,0.0,98,3.0,84.0
18000000000,168224000,1.0,1.0,0.0,99,2.0,107.0
6500000000,138297000,1.0,1.0,1.0,5,5.0,47.0
25500000000,197674000,1.0,1.0,1.0,67,5.0,129.0
8750000000,88383000,1.0,1.0,1.0,100,5.0,99.0
41000000000,186363000,1.0,1.0,1.0,67,3.0,220.0
5000000000,76923000,1.0,0.0,1.0,39,3.0,63.0
3010000000,53750000,1.0,0.0,1.0,101,3.0,56.0
15800000000,132773000,1.0,1.0,1.0,99,4.0,119.0
4400000000,74576000,0.0,0.0,1.0,102,2.0,59.0
4100000000,68333000,0.0,0.0,1.0,22,2.0,60.0
720000000,13090000,1.0,1.0,1.0,17,11.0,50.0
2550000000,60714000,0.0,1.0,1.0,10,4.0,42.0
8150000000,148181000,1.0,1.0,1.0,20,3.0,55.0
29000000000,165714000,1.0,1.0,1.0,33,4.0,175.0
4480000000,78596000,1.0,0.0,1.0,24,3.0,57.0
6000000000,120000000,1.0,0.0,1.0,5,2.0,50.0
10800000000,81818000,1.0,1.0,1.0,26,2.0,132.0
14450000000,120416000,1.0,1.0,1.0,71,5.0,120.0
650000000,13000000,1.0,1.0,1.0,17,20.0,66.0
8200000000,134426000,1.0,1.0,1.0,19,3.0,61.0
3200000000,58181000,0.0,1.0,1.0,55,3.0,55.0
2800000000,68292000,1.0,1.0,1.0,24,2.0,41.0
3600000000,72000000,0.0,0.0,0.0,44,2.0,50.0
2380000000,59500000,0.0,0.0,0.0,24,3.0,40.0
85000000000,340000000,1.0,1.0,1.0,37,1.0,250.0
